event_time,coefficient,teen_emp,control_emp
-5,-0.0074663294311310135,0.2993776408633932,0.6989634639417776
-4,-0.026632551639184543,0.2449622767643969,0.6637143220508348
-3,-0.05512158452941762,0.24553215708594195,0.6927732352626129
-2,0.024132637136294266,0.3047133255981961,0.6727001821091552
-1,0.0,0.2963420448142851,0.6884615384615385
0,-0.017709238849942743,0.24804573804573804,0.6578744705429341
1,-0.05215288352048686,0.26081296819354044,0.7050853453612806
2,-0.037856939318174854,0.242992004623832,0.6729684375892602
3,-0.06175043602384278,0.2363596249310535,0.6902295546021496
4,-0.08739405438784448,0.20118142569751585,0.6806949737326137
5,-0.05291789984408729,0.24058685189090492,0.6856242453822455
6,-0.0476421399212964,0.2409546326503183,0.680716266218868
7,-0.04485273727575412,0.24547707840191418,0.6824493093249216
8,-0.050092209582518865,0.24191873039010325,0.6841304336198755
9,-0.05338796853829003,0.23949193904980834,0.6849994012353517
10,-0.04650729629306438,0.24318775298664236,0.6818145429269601
