term,Estimate,Std. Error,t value,Pr(>|t|),event_time,estimate,std_error,ci_lower,ci_upper
event_time::-5,-0.007110088165988213,0.01491980592592107,-0.4765536630496937,0.6370220203484984,-5,-0.007110088165988213,0.01491980592592107,-0.03635290778079351,0.022132731448817083
event_time::-4,-0.02589159905442144,0.01206587359056439,-2.1458536640619936,0.03982525008649576,-4,-0.02589159905442144,0.01206587359056439,-0.04954071129192765,-0.0022424868169152352
event_time::-3,-0.0031476549199427623,0.01332100336563473,-0.23629263003288642,0.8147599394591827,-3,-0.0031476549199427623,0.01332100336563473,-0.02925682151658683,0.02296151167670131
event_time::-2,-0.011630948581730288,0.013471082877441727,-0.8634011599176727,0.3945481048581274,-2,-0.011630948581730288,0.013471082877441727,-0.038034271021516075,0.014772373858055497
NA,NA,NA,NA,NA,-1,0,0,0,0
event_time::0,-0.01991100180506842,0.006629825528431702,-3.003246724922248,0.005245393629645187,0,-0.01991100180506842,0.006629825528431702,-0.03290545984079456,-0.006916543769342283
event_time::1,-0.014859777469645957,0.0037238835378853407,-3.99039801284556,3.751839883913291e-4,1,-0.014859777469645957,0.0037238835378853407,-0.022158589203901225,-0.0075609657353906895
event_time::2,-0.015272667885881467,0.003934827218571521,-3.88140750216371,5.073711757774933e-4,2,-0.015272667885881467,0.003934827218571521,-0.02298492923428165,-0.007560406537481286
event_time::3,-0.016944675801216103,0.009407335066276909,-1.8012195464323149,0.08140344035961143,3,-0.016944675801216103,0.009407335066276909,-0.03538305253111884,0.0014937009286866386
event_time::4,-0.019806241040466813,0.00713765620584697,-2.7748942326813233,0.009272959880610204,4,-0.019806241040466813,0.00713765620584697,-0.03379604720392687,-0.0058164348770067525
event_time::5,-0.02028097095015085,0.005568447822956014,-3.6421228311671032,9.767697281808183e-4,5,-0.02028097095015085,0.005568447822956014,-0.031195128683144637,-0.009366813217157061
