event_time,estimate,std_error,ci_lower,ci_upper,estimator
-5,-0.00711008816598821,0.01491980592592107,-0.03635290778079351,0.02213273144881708,TWFE
-4,-0.02589159905442144,0.01206587359056439,-0.04954071129192765,-0.00224248681691523,TWFE
-3,-0.00314765491994276,0.01332100336563473,-0.02925682151658683,0.02296151167670131,TWFE
-2,-0.01163094858173028,0.01347108287744172,-0.03803427102151607,0.01477237385805549,TWFE
-1,0,0,0,0,TWFE
0,-0.01991100180506842,0.0066298255284317,-0.03290545984079456,-0.00691654376934228,TWFE
1,-0.01485977746964595,0.00372388353788534,-0.02215858920390122,-0.00756096573539068,TWFE
2,-0.01527266788588146,0.00393482721857152,-0.02298492923428165,-0.00756040653748128,TWFE
3,-0.0169446758012161,0.0094073350662769,-0.03538305253111884,0.00149370092868663,TWFE
4,-0.01980624104046681,0.00713765620584697,-0.03379604720392687,-0.00581643487700675,TWFE
5,-0.02028097095015085,0.00556844782295601,-0.03119512868314463,-0.00936681321715706,TWFE
-5,-0.008259247705360706,0.001146671453686336,-0.010506723754585924,-0.006011771656135488,Sun-Abraham
-4,-0.01619761106355681,0.0010457630937502718,-0.018247306727307344,-0.014147915399806277,Sun-Abraham
-3,0.0060717895262718076,0.0014474534347212048,0.0032347807942182463,0.008908798258325369,Sun-Abraham
-2,-0.0026809776337953575,9.91885792778652e-4,-0.004625073787641516,-7.368814799491995e-4,Sun-Abraham
-1,0,0,0,0,Sun-Abraham
0,-0.01990877810823068,0.0017482699717479427,-0.023335387252856648,-0.016482168963604712,Sun-Abraham
1,-0.011393893333742425,0.002835235754567088,-0.016950955412693917,-0.005836831254790933,Sun-Abraham
2,-0.01706867704684188,0.0021977040378108508,-0.021376176960951145,-0.012761177132732612,Sun-Abraham
3,-0.02188346197032872,0.002691157685023881,-0.027158131032975527,-0.016608792907681913,Sun-Abraham
4,-0.012583097689016238,0.0032190422288543713,-0.018892420457570804,-0.006273774920461671,Sun-Abraham
5,-0.028624457970539433,0.0027514419567539836,-0.03401728420577724,-0.023231631735301624,Sun-Abraham
