Event_Time,Estimate,SE,CI_lower,CI_upper,p_value,stars
-8,3.824651682193598e-4,0.026589480780904735,-0.05173291716235392,0.05249784749879264,0.9885235619122377,
-7,-0.01530290664913035,0.012263885857490553,-0.03934012292981183,0.008734309631551132,0.2121034163474218,
-6,-5.276985506388766e-4,0.007153761630928003,-0.014549071347257763,0.01349367424598001,0.9411972298156364,
-5,-0.010543076458608861,0.006741395362808201,-0.023756211369712933,0.0026700584524952126,0.11783379896151747,
-4,0.005443109337367718,0.007119550133424073,-0.008511208924143466,0.0193974275988789,0.44455149323845355,
-3,0.02650573127811512,0.007373777818260994,0.01205312675432357,0.040958335801906665,3.248988821877852e-4,***
-2,0.004855914536411954,0.004206410795766051,-0.003388650623289505,0.013100479696113413,0.2483329113015751,
0,-0.035310310527639395,0.00842136518286928,-0.05181618628606319,-0.018804434769215606,2.7535773658771134e-5,***
1,-0.05748106556636857,0.007490051717790811,-0.07216156693323855,-0.04280056419949858,1.6653345369377348e-14,***
2,9.701972072043728e-4,0.006970216928942888,-0.012691427973523689,0.014631822387932434,0.8892985692072004,
3,-0.01681528396252836,0.00804150761469733,-0.03257663888733513,-0.0010539290377215953,0.03652258493202365,**
