year,n_obs,sum_weight,pension_rate
2010,521,699345.3000000002,0.2299206128932302
2011,487,684098.7100000002,0.22601388913596976
2012,461,697664.5400000006,0.1968299693144787
2013,490,723156.2199999995,0.21575993635234186
2014,515,1492118.7599999998,0.20329596955137805
2015,556,778940.6399999992,0.23936455543005178
2016,603,928018.8600000003,0.21183266684903354
2017,628,1001995.1299999997,0.15182018898634778
2018,601,1010524.1599999997,0.19068142814121347
2019,623,997372.1500000004,0.1618766976799983
2020,578,971549.8084999996,0.18237380055023722
2021,643,975747.8759999997,0.14512241428645453
2022,533,975435.4199999995,0.17044794210979147
2023,534,1061670.1799999997,0.14860299645978567
2024,509,1016324.53,0.16888444087834822
