bandwidth,estimate,se,ci_lower,ci_upper,n
1,-3.606888078635528,7.225244918643334,-17.76810789865749,10.554331741386434,2108
1.5,-3.459607315132665,5.766972616105849,-14.76266594252886,7.8434513122635305,2108
2,-3.528101865044377,4.245775960377232,-11.849669833809708,4.793466103720954,2108
2.5,-4.212893196358557,3.3778752248428927,-10.833406981320762,2.4076205886036472,2108
3,-4.418674180082299,2.8340953713012698,-9.973399036584457,1.1360506764198597,2108
3.5,-4.274163848204999,2.4407481234787722,-9.057942265557113,0.5096145691471134,2108
4,-4.109631021258203,2.207326362537561,-8.435911193957622,0.2166491514412181,2108
4.5,-3.619927513577089,2.0049257343499916,-7.549509744580591,0.30965471742641304,2108
5,-3.1736452399516963,1.8529910883877083,-6.805441036865279,0.45815055696188667,2108
5.5,-2.8001933589009056,1.7345230587811784,-6.199796084466265,0.599409366664454,2108
6,-2.5358814326727313,1.632763327456657,-5.736038749765557,0.6642758844200944,2108
6.5,-2.4777084581388564,1.5435397104728916,-5.502990699373106,0.5475737830953924,2108
7,-2.4023503149886736,1.474237085842547,-5.291801907913349,0.4871012779360018,2108
7.5,-2.34973505702569,1.4129074240118797,-5.118982721578236,0.4195126075268565,2108
8,-2.4184560116125766,1.3522457061537398,-5.068808893922839,0.2318968706976854,2108
8.5,-2.535507677127235,1.3070106254183138,-5.0972014303583,0.02618607610383039,2108
9,-2.619907547218425,1.26727020557613,-5.103711508828309,-0.13610358560854063,2108
9.5,-2.6807207495087297,1.2363835443881268,-5.103987967587437,-0.2574535314300226,2108
10,-2.739870760902569,1.20594994287654,-5.103489216098723,-0.3762523057064162,2108
