canton,yes_share,year,treated,language,post,treat_post
ZH,44.863279716993866,2000,0,German,FALSE,0
FR,30.534123985248282,2000,0,French,FALSE,0
SO,34.74132877393703,2000,0,German,FALSE,0
BS,50.025542402650565,2000,1,German,FALSE,0
BL,40.977293664173274,2000,1,German,FALSE,0
SH,37.600503775413436,2000,0,German,FALSE,0
AR,37.12111755086637,2000,0,German,FALSE,0
AI,NA,2000,0,German,FALSE,0
SG,38.00453246940029,2000,0,German,FALSE,0
GR,46.086683653929526,2000,1,German,FALSE,0
AG,33.74847189585864,2000,1,German,FALSE,0
BE,41.36750571360908,2000,1,German,FALSE,0
TG,35.95258899115167,2000,0,German,FALSE,0
TI,39.02324853913393,2000,0,Italian,FALSE,0
VD,36.51622539861317,2000,0,French,FALSE,0
VS,33.074689714978135,2000,0,French,FALSE,0
NE,34.76082114581676,2000,0,French,FALSE,0
GE,42.4445583692613,2000,0,French,FALSE,0
JU,33.072579033482405,2000,0,French,FALSE,0
LU,37.06283348642624,2000,0,German,FALSE,0
UR,33.922434695210995,2000,0,German,FALSE,0
SZ,32.13547441209953,2000,0,German,FALSE,0
OW,34.25659455443764,2000,0,German,FALSE,0
NW,31.769067301625654,2000,0,German,FALSE,0
GL,34.50698878899376,2000,0,German,FALSE,0
ZG,37.20150865241459,2000,0,German,FALSE,0
ZH,39.877862514235176,2003,0,German,FALSE,0
FR,37.43604246164913,2003,0,French,FALSE,0
SO,31.040196405567524,2003,0,German,FALSE,0
BS,55.05074249074526,2003,1,German,FALSE,0
BL,46.09418171021285,2003,1,German,FALSE,0
SH,40.94570852311856,2003,0,German,FALSE,0
AR,34.62129801605221,2003,0,German,FALSE,0
AI,28.262678524271465,2003,0,German,FALSE,0
SG,33.79347614230407,2003,0,German,FALSE,0
GR,39.08597462662606,2003,1,German,FALSE,0
AG,27.951305306561956,2003,1,German,FALSE,0
BE,36.80780643758998,2003,1,German,FALSE,0
TG,31.03338205650031,2003,0,German,FALSE,0
TI,46.246354466802664,2003,0,Italian,FALSE,0
VD,40.94496776496022,2003,0,French,FALSE,0
VS,30.327132358794874,2003,0,French,FALSE,0
NE,43.001553248820194,2003,0,French,FALSE,0
GE,46.02736998105865,2003,0,French,FALSE,0
JU,43.80109715274152,2003,0,French,FALSE,0
LU,32.92424790966854,2003,0,German,FALSE,0
UR,38.54180298525314,2003,0,German,FALSE,0
SZ,30.21192099393473,2003,0,German,FALSE,0
OW,34.91050296423189,2003,0,German,FALSE,0
NW,34.390418661632445,2003,0,German,FALSE,0
GL,38.180827467222585,2003,0,German,FALSE,0
ZG,32.78519484687023,2003,0,German,FALSE,0
ZH,46.98852417161213,2016,0,German,TRUE,0
FR,48.204979040058056,2016,0,French,TRUE,0
SO,39.29283029316085,2016,0,German,TRUE,0
BS,60.50973962255088,2016,1,German,TRUE,1
BL,50.48961521126692,2016,1,German,TRUE,1
SH,47.11691383421913,2016,0,German,TRUE,0
AR,42.26624980521718,2016,0,German,TRUE,0
AI,34.07143451712655,2016,0,German,TRUE,0
SG,39.869635320615586,2016,0,German,TRUE,0
GR,44.39557055608209,2016,1,German,TRUE,1
AG,37.09424852370747,2016,1,German,TRUE,1
BE,43.43381811830879,2016,1,German,TRUE,1
TG,40.11303269420527,2016,0,German,TRUE,0
TI,46.3967012813998,2016,0,Italian,TRUE,0
VD,54.77973810638848,2016,0,French,TRUE,0
VS,46.60079312592958,2016,0,French,TRUE,0
NE,56.846875043897136,2016,0,French,TRUE,0
GE,59.072782623245985,2016,0,French,TRUE,0
JU,57.27159143445237,2016,0,French,TRUE,0
LU,38.820519609724705,2016,0,German,TRUE,0
UR,40.33373988461,2016,0,German,TRUE,0
SZ,31.916398149008728,2016,0,German,TRUE,0
OW,35.00000647047683,2016,0,German,TRUE,0
NW,34.80525778671275,2016,0,German,TRUE,0
GL,38.550701739729014,2016,0,German,TRUE,0
ZG,37.850543010956486,2016,0,German,TRUE,0
AG,48.253108652864874,2017,1,German,TRUE,1
AI,56.21365801072121,2017,0,German,TRUE,0
AR,53.41678480100149,2017,0,German,TRUE,0
BE,55.1377709245733,2017,1,German,TRUE,1
BL,53.414815709179216,2017,1,German,TRUE,1
BS,64.0918906045118,2017,1,German,TRUE,1
FR,63.07937423253745,2017,0,French,TRUE,0
GE,72.68006258253222,2017,0,French,TRUE,0
GL,43.91334319737358,2017,0,German,TRUE,0
GR,58.608745334671184,2017,1,German,TRUE,1
JU,62.687127664300164,2017,0,French,TRUE,0
LU,58.44010472298398,2017,0,German,TRUE,0
NE,69.59619556199917,2017,0,French,TRUE,0
NW,50.478276760704674,2017,0,German,TRUE,0
OW,49.727325272446805,2017,0,German,TRUE,0
SG,52.166989984710774,2017,0,German,TRUE,0
SH,51.309322332344124,2017,0,German,TRUE,0
SO,50.467851313774716,2017,0,German,TRUE,0
SZ,43.972839832568944,2017,0,German,TRUE,0
TG,51.53811029840319,2017,0,German,TRUE,0
TI,56.93329036106081,2017,0,Italian,TRUE,0
UR,51.619735510013555,2017,0,German,TRUE,0
VD,73.92708083524136,2017,0,French,TRUE,0
VS,63.609183039345425,2017,0,French,TRUE,0
ZG,53.73463674720376,2017,0,German,TRUE,0
ZH,59.03741104344575,2017,0,German,TRUE,0
