county_name,n_municipalities,mean_merit,mean_cars,mean_rental
Stockholm,26,238.38076923076923,414.32784819230767,26.62391473076923
Gotland,1,229.5,582.757475,28.095821
Norrbotten,14,227.02857142857144,577.5761458571428,32.30342364285714
Halland,6,226.63333333333333,535.5879561666667,30.255268166666667
Skåne,33,226.53939393939393,517.5543041212121,28.16208793939394
Kronoberg,8,224.7875,531.245578125,31.75879475
Jämtland,8,224.375,582.374511,28.202485875
Östergötland,13,222.55384615384617,524.8594883076923,34.69649661538462
Västra Götaland,49,222.29591836734693,533.5649692244898,27.996284040816327
Jönköping,13,221.91538461538462,522.3463215384616,31.31414376923077
Blekinge,5,220.94,532.828022,32.0774402
Värmland,16,220.38125,571.7199758125,27.137584125
Kalmar,12,220.08333333333334,552.4719646666666,29.592280416666668
Gävleborg,10,219.31,547.9545998,33.3556563
Uppsala,8,219.2125,500.29881525,24.404690625
Dalarna,15,219.13333333333333,591.0479031333333,27.201886333333334
Västerbotten,15,218.06666666666666,560.0164695333333,28.0171082
Västernorrland,7,217.4857142857143,549.8306670000001,27.21137542857143
Västmanland,10,215.24,527.8606267,32.7919992
Södermanland,9,214.7888888888889,501.05919655555556,35.743931777777775
Örebro,12,212.91666666666666,543.07898225,31.506108583333333
