state_fips,state_name,first_treat,loo_att,loo_se,influence
Full,Full Sample,NA,0.007493265872653012,0.010043432773468145,NA
41,Oregon,2017,0.01565745138652477,0.006205240554165488,0.008164185513871759
17,Illinois,2018,0.002922673074808162,0.00986918692222253,-0.00457059279784485
6,California,2019,0.00461475947368254,0.011219678554184771,-0.0028785063989704724
9,Connecticut,2021,0.007354319078361834,0.010644407849684685,-1.38946794291178e-4
24,Maryland,2022,0.00664909578676728,0.010513980147035244,-8.441700858857325e-4
8,Colorado,2023,0.008232258101461321,0.010400925632576686,7.38992228808309e-4
51,Virginia,2023,0.005730619825595634,0.010136760657848505,-0.0017626460470573785
10,Delaware,2024,0.009536477086367448,0.010302151849541172,0.0020432112137144355
23,Maine,2024,0.0065166282555681075,0.009281997879218969,-9.766376170849047e-4
34,New Jersey,2024,0.006669035182181435,0.010135617642633949,-8.242306904715771e-4
50,Vermont,2024,0.008891303789072734,0.010296497135339176,0.0013980379164197218
